sourceId,orgName,location,type,email,phone,facebook,linkedinPeople,website,notes,eventSpecificLine,valediction,enrichedAt,contactFound
4356a5973f87,Bend Bike Festival,"Bend, OR",bike,info@bendenduranceacademy.org,(541) 904-5048,https://www.facebook.com/bendbikeswap/,"[{""name"":""William Lister"",""location"":""Bend, OR"",""role"":""Director""},{""name"":""Conor Munns"",""location"":""Bend, OR"",""role"":""Director""},{""name"":""Ann Leitheiser"",""location"":""Bend, OR"",""role"":""Director""}]",https://bendenduranceacademy.org,"A nonprofit youth sports organization promoting healthy living through rock climbing, mountain biking, and Nordic skiing in Central Oregon.",Looks like the Bend Bike Festival is coming up this April — hope planning's going well!,See you on the trails,2026-07-10T02:58:08.635Z,true
c8a49ea1e4f1,University of Oregon Gear Swap,"Eugene, OR",gear,opwww@uoregon.edu,(541) 346-4365,https://www.facebook.com/uooutdoorprogram,[],https://outdoorprogram.uoregon.edu,"The UO Outdoor Program facilitates outdoor adventures through gear rentals, bike programs, trips, and community events.",Looks like the UO Gear Swap typically runs in late January — hope planning's going well for the next one.,See you outside,2026-07-10T02:58:23.276Z,true
57d9659538bd,Eugene Ski Swap,"Eugene, OR",ski,,(541) 914-9584,https://www.facebook.com/eugeneskiswap/,"[{""name"":""Brian Millington"",""location"":""Eugene, OR"",""role"":""Director""}]",https://eugeneskiswap.org/,Annual fundraiser benefiting three volunteer ski patrol groups in the Eugene area.,Looks like the Eugene Ski Swap typically runs the last weekend in October — hope planning's going well for this fall.,See you on the slopes,2026-07-10T02:58:43.754Z,true
1669c21a9ebf,Corvallis Ski Swap,"Corvallis, OR",ski,corvallisskiswap@gmail.com,(503) 399-3518,https://www.facebook.com/CorvallisSkiSwap/,[],https://corvallisskiswap.org/,"Annual fundraiser for Corvallis Mountain Rescue Unit and Santiam Pass Ski Patrol, organized by volunteers from both groups.",Looks like the Corvallis Ski Swap is coming up this October — hope planning's going well for the 58th annual event.,See you on the slopes,2026-07-10T02:59:01.473Z,true
5df3a29ec5fb,Mt Hood Nordic Ski Swap,"Portland, OR / Hood River, OR",ski,info@teacupnordic.org,,https://www.facebook.com/teacupnordic/,[],https://teacupnordic.org,Volunteer-powered nonprofit operating a cross-country ski area in the Mt. Hood National Forest since 1979.,Looks like the Mt Hood Nordic Ski Swap is coming up this November at both Portland and Hood River locations — hope planning's going well.,See you on the trails,2026-07-10T02:59:16.977Z,true
e5def79b16be,MBSEF Skyliners Ski Swap,"Bend, OR",ski,events@mbsef.org,541-388-0002,https://www.facebook.com/p/Mt-Bachelor-Sports-Education-Foundation-100057122334389/,"[{""name"":""Marieka Greene"",""location"":""Bend, OR"",""role"":""Director""}]",https://mbsef.org,"MBSEF is a nonprofit supporting competitive Alpine, Nordic, and Freeride ski and snowboard programs for Central Oregon youth.",Looks like the Skyliners Ski Swap typically runs in early October — hope planning's going well for this fall.,See you on the mountain,2026-07-10T02:59:37.011Z,true
67a8db25cf72,Bogus Basin Ski Swap,"Boise, ID",ski,info@bbsef.org,(208) 336-5295,https://www.facebook.com/skiswapboise/,[],https://www.bbsef.org,"Nonprofit supporting competitive ski, snowboard, and mountain bike programs for Treasure Valley youth since 1967.",Looks like the 74th Annual Ski Swap is coming up late October — hope planning's going well!,See you on the slopes,2026-07-10T02:59:56.634Z,true
5471db6e7537,Idaho Trails Association Gear Swap - Coeur d'Alene,"Coeur d'Alene, ID",gear,trails@idahotrailsassociation.org,(208) 315-0079,https://www.facebook.com/IdahoTrailsAssociation/,"[{""name"":""Barbara Sammut"",""location"":""Coeur d'Alene, ID"",""role"":""Organizer""},{""name"":""Savannah Willison"",""location"":""Sandpoint, ID"",""role"":""Organizer""},{""name"":""Kelly Hewes"",""location"":""Boise, ID"",""role"":""Director""}]",https://idahotrailsassociation.org,"Idaho Trails Association is a volunteer-based nonprofit working to keep Idaho's hiking trails open through stewardship, education, and advocacy.",Looks like the Gear Swap in Coeur d'Alene is coming up this May — hope planning's going well.,See you on the trail,2026-07-10T03:00:15.697Z,true
6463414f5ae0,Idaho Trails Association Gear Up Sale,"Boise, ID",gear,trails@idahotrailsassociation.org,(208) 315-0079,https://www.facebook.com/IdahoTrailsAssociation/,"[{""name"":""Kelly Hewes"",""location"":""Boise, ID"",""role"":""Director""}]",https://idahotrailsassociation.org,"Volunteer-based nonprofit focused on stewarding Idaho's public hiking trails through maintenance projects, education, and advocacy.",Looks like the Gear Up Sale is coming up this September — hope planning's going well.,See you on the trail,2026-07-10T03:00:40.574Z,true
0efac5671399,North Idaho Paddle Sports Gear Swap,"Spirit Lake, ID",other,,,https://www.facebook.com/p/Coeur-dAlene-Canoe-and-Kayak-Club-100057579214615/,"[{""name"":""Dwight McCain"",""location"":""Coeur d'Alene, ID"",""role"":""Organizer""},{""name"":""JerrySue Limandri"",""location"":""Coeur d'Alene, ID"",""role"":""Organizer""}]",http://www.cdacanoekayakclub.com/,"Non-profit paddling club founded in 2005 promoting kayaking, canoeing, and safety education in the Coeur d'Alene area.",The inaugural North Idaho Paddle Sports Gear Swap was held in June 2024 — hoping you're planning another one this year!,See you on the water,2026-07-10T03:01:08.350Z,true
f99d39773748,Idaho Vintage Motorcycle & Bicycle Rally and Show,"Caldwell, ID",other,,,https://www.facebook.com/theidahovintagemotorcycleclub,[],https://www.idahovintagemotorcycleclub.org,"Idaho-based vintage motorcycle club dedicated to preservation of motorcycling history, publishing The Megaphone newsletter six times yearly.",Looks like the 50th Annual Idaho Vintage Motorcycle & Bicycle Rally & Show is coming up this March — hope planning's going well.,Keep the rubber side down,2026-07-10T03:01:36.622Z,true
